Test_name	Program_args	Time_to_start_wasm_runtime_miliseconds	Timings_miliseconds	Avg_with_first_run	Average_no_first_run	
return_0		43.529999999998836ms	0.389999999984866ms 0.16000000000349246ms 0.03500000000349246ms 0.0650000000023283ms	0.1624999999985448ms	0.08666666666977108ms	
cpu_single_thread_no_op_loop	1000000	145.56500000000233ms	5.845000000001164ms 2.179999999993015ms 2.0799999999871943ms 2.095000000001164ms	3.0499999999956344ms	2.1183333333271244ms	
prime_number	919393	79.7949999999837ms	6.050000000017462ms 2.194999999977881ms 2.195000000006985ms 2.154999999998836ms	3.148750000000291ms	2.181666666661234ms	
prime_number	2147483647	59.679999999993015ms	4866.549999999988ms 4894.524999999994ms 4897.885000000009ms 4895.549999999988ms	4888.627499999995ms	4895.986666666664ms	
matrix_addition_single_multi	10000 10 1 multi	89.125ms	2.14000000001397ms 0.5899999999965075ms 0.4349999999976717ms 0.4899999999906868ms	0.913749999999709ms	0.5049999999949554ms	
cpu_multi_thread_no_op_loop	1000000000 12	122.18499999999767ms	6071.154999999999ms 2700.8250000000116ms 2670.5499999999884ms 2817.1350000000093ms	3564.916250000002ms	2729.5033333333363ms	
prime_number_multi	2147483647 12	138.40500000002794ms	23481.00999999998ms 8950.654999999999ms 8674.604999999981ms 8554.794999999984ms	12415.266249999986ms	8726.684999999989ms	
fibonnaci_multi	999999999 12	62.76000000000931ms	16925.005000000005ms 5134.40499999997ms 5105.960000000021ms 5256.799999999988ms	8105.542499999996ms	5165.72166666666ms	

