Test_name	Program_args	Time_to_start_wasm_runtime_miliseconds	Timings_miliseconds	Avg_with_first_run	Avg_no_first_run
return_0		46.97499999997672ms	0.3049999999348074ms 0.10500000009778887ms 0.03499999991618097ms 0.05500000005122274ms	0.125ms	0.06500000002173086ms
cpu_single_thread_no_op_loop	1000000	95.05499999993481ms	4.03000000002794ms 0.8050000000512227ms 0.7249999999767169ms 0.6700000000419095ms	1.5575000000244472ms	0.7333333333566164ms
prime_number	919393	55.05499999993481ms	5.040000000037253ms 1.9450000000651926ms 1.9199999999254942ms 1.8599999999860302ms	2.6912500000034925ms	1.9083333333255723ms
prime_number	2147483647	51.17999999993481ms	4072.480000000098ms 4072.009999999893ms 4071.8800000000047ms 4071.795000000042ms	4072.0412500000093ms	4071.89499999998ms
matrix_addition_single_multi	10000 10 1 multi	96.26000000000931ms	1.7650000000139698ms 0.48499999998603016ms 0.4100000000325963ms 0.47999999998137355ms	0.7850000000034925ms	0.4583333333333333ms
cpu_multi_thread_no_op_loop	1000000000 12	132.4549999999581ms	4617.135000000009ms 1288.75ms 1251.625ms 1339.4250000000466ms	2124.233750000014ms	1293.266666666682ms
prime_number_multi	2147483647 12	71.63000000000466ms	23043.594999999972ms 8450.454999999958ms 8495.535000000033ms 8536.599999999977ms	12131.546249999985ms	8494.196666666656ms
fibonnaci_multi	999999999 12	66.10000000009313ms	9844.644999999902ms 2695.305000000051ms 2706.5400000000373ms 2717.1549999999115ms	4490.911249999976ms	2706.3333333333335ms

